planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
CD HUACHIPA,2025-11-20,ALICORP,ALTO POTENCIAL,"Dutante la extracción de una paleta completa desde el cuarto nivel, el operador del montacargas eléctrico no insertó correctamente las horquillas, levantando primero la viga y provocando la caída de la paleta contigua hasta el primer nivel. El colaborador resultó ileso y sólo se registraron daños materiales.",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
CD DETERGENTES LURIN,2025-11-21,INTRADEVCO,DANO AMBIENTAL,"Durante el proceso de descarga de una UT, la manguera del mástil del montacargas se rompe y salpica hidrolina. El colaborador se encontraba utilizando sus lentes de seguridad.
Según protocolo, el operador fue atendido en tópico donde se corroboró que no tuvo ningún tipo de daño.
La investigación se encuentra en curso.",Fuga de hidrolina,EQUIPO LOGISTICO,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-11-24,ALICORP,DANO MATERIAL,"El día 24 de noviembre aproximadamente a las 08:00 hrs, el abastecedor de turno se desplazaba con el equipo 960 (Apilador) hacia el Almacén de Insumos para realizar el traslado de materiales. Al aproximarse al punto de ingreso, observó que la puerta levadiza se encontraba completamente abierta, por lo que procedió a avanzar.

Durante el acercamiento, la puerta inició un descenso inesperado, generando un leve impacto entre la parte superior del apilador y la base inferior de la puerta, ocasionando una deformación en el panel.

Personal tercero (FLAMIL) acudió de inmediato para brindar soporte y se detuvieron las operaciones en la zona como medida preventiva. El evento se encuentra en investigación.",Daño a puerta elevadiza,EQUIPO LOGISTICO,,tablero_2025_2026
CD LATAM 600,2025-11-25,ALICORP,ALTO POTENCIAL,"El operador de Traspaleta – Senatino se encontraba realizando el acercamiento de pallets hacia la rampa para su despacho, el operador no se percata de la presencia de su compañero de Senati, quien se encontraba transitando por la zona peatonal, el operador invade la zona peatonal y empuja a su compañero con el equipo logístico.
Se le brindó los primeros auxilios de forma inmediata al colaborador afectado y luego de una evaluación por central de emergencias, se determinó que no era necesario la llegada de la ambulancia.",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
CD BOLIVIA,2025-11-26,BM GROUP,ALTO POTENCIAL,"En fecha 26 de noviembre de 2025 a Hrs. 12:46 pm posterior al horario de almuerzo, en los predios de nuestro proveedor logístico LOGRA, el cual nos alquila la nave de almacenamiento G11; el colaborador externo de la empresa BM Group se dirige de una zona de hidratación general en LOGRA hacia el almacén G11 a continuar con sus labores, cuando intempestivamente un taxi de color plateado (gris) conducido por personal de la empresa ROMABERH – DEX, la cual trabaja como nuestro cliente en el mismo predio, se dirige hacia su persona casi a punto de impactar contra el (no se registraron daños personales), se desconocen los motivos por los cuales el personal de la DEX tomo ese actuar, así mismo cabe señalar que posterior a la revisión de cámaras se evidencia lo reportado por el colaborador y de igual manera se evidencia que el transporte tenía un espacio disponible para su tránsito.",Atropello,AUTO DE TRANSPORTE,,tablero_2025_2026
DETERGENTES LURIN,2025-12-05,INTRADEVCO,ALTO POTENCIAL,"Aproximadamente a las 01:40 a.m. del 05/12, en la sala de bombas (primer nivel), durante la operación de la bomba de alta presión B, se produjo el desacople repentino de uno de los tapones de los cabezales de la bomba generando el derrame y salpicadura de pasta en la zona. Desde la Sala de Control se detectó el sonido anómalo y se detuvo el proceso. No se registraron daños personales.
El incidente se encuentra en proceso de investigación.",,,,tablero_2025_2026
CDC,2025-12-06,,ALTO POTENCIAL,"El sábado 6 de diciembre, aproximadamente a las 8:00 a.m., se detectó un fuerte olor a ácido en el cuarto de baterías, proveniente de siete baterías antiguas de los equipos ETV que se encontraban en mal estado. El olor generó malestar entre el personal de almacén y planta. El equipo de Seguridad intervino de inmediato y dispuso el aislamiento y retiro urgente de dichas baterías.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-12-11,ALICORP,DANO MATERIAL,"Aproximadamente a la 1:00 p. m., el operador de almacén se disponía a bajar un pallet con bobinas de Chocobom desde el cuarto nivel de los racks utilizando el apilador. Al momento de retirar la carga, la parte posterior del pallet se desprendió y varias bobinas cayeron al piso. Se estima que cayeron entre 5 y 6 bobinas, de las cuales 4 resultaron dañadas en el cono, generando una merma aproximada de 55 kg. Las bobinas ubicadas en la tercera cama estaban en la parte posterior y no se habían movido, mientras que los saldos de la última cama permanecían visibles. El evento esta en investigación.",,,,tablero_2025_2026
APT FIDEERIA,2025-12-13,TRANSPORTES TACSA,DANO MATERIAL,"La unidad de transporte de placa tracto: B6V972, se encontraba circulando dentro del patio de Fideería, Callao. El conductor intentó estacionarse y al realizar la maniobra impactó levemente contra el poste de la vía, solo hubieron daños materiales, no hubo ninguna lesión al conductor. La investigación del evento se encuentra en curso.",,,,tablero_2025_2026
PREDIO CALLAO,2025-12-16,S. G. NILSON,INCIDENTE,"El miércoles 16/12/2025 alrededor de las 12:00pm, personal tercero de la empresa S. G. Nilson, se encontraba realizando actividades de limpieza en la sala de bombas del Buhler N°2 en la cual estaba limpiando la guarda del motor, cuando parte del trapeador cuelga hacia el eje del motor en funcionamiento, generando el atrapamiento del trapeador.
El evento se encuentra en investigación.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-12-17,ALICORP,ALTO POTENCIAL,"Esencial a la estructura propia del artesa como tambien al enrejado de seguridad.
Siendo las 09:10 horas aproximadamene, durante la maniobra de posicionamiento y elevación de la artesa de masa hacia el recolector mediante la plataforma hidráulica, se produjo una falla mecánica en el sistema de aseguramiento (pestillo/seguro) del manubrio de la artesa.
Dicha falla ocasionó la apertura involuntaria del seguro, provocando la liberación intempestiva y caída del manubrio hacia la zona de operación. Si bien no hubo contacto con el personal, el evento generó una condición de riesgo crítico por caída de objeto contundente, con potencial de causar lesiones severas al colaborador que se encontraba en la línea de fuego.",,,,tablero_2025_2026
MASTERBREAD CAJAMARQUILLA,2025-12-18,AGRONEGOCIOS CASAGRANDE,DANO MATERIAL,"El 18 de diciembre del 2025, a las 08:15 a. m., la unidad de transporte del proveedor de maíz, [NOMBRE], durante la maniobra de retroceso para su posicionamiento junto a la tolva de recepción, impactó contra la base de la plataforma, ocasionando daños estructurales. Cabe indicar que este hecho ocurrió al no contar con un personal vigía (paletero) que guíe la maniobra, generando una condición insegura en el área. No se registraron lesiones al personal. El evento se encuentra en proceso de investigación.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-12-20,ALICORP,INCIDENTE,"Siendo aproximadamente las 4:40 a. m., durante la incineración de la malla del horno de la línea 1, en la parte posterior del equipo se observó la presencia de abundante humo. El coordinador de elaboración informó de inmediato al ingeniero de turno, quien a su vez comunicó la situación al inspector de seguridad del predio. Al acudir al punto, y considerando la cantidad de humo acumulado en el área, se procedió a la apertura de las puertas de emergencia para facilitar su disipación. Durante esta acción, las brasas de carbón de galleta presentes en la zona comenzaron a arder, por lo que el equipo operativo de planta utilizó un extintor para sofocar el fuego. El evento fue controlado oportunamente, sin registrarse daños materiales ni lesiones al personal. El incidente se encuentra actualmente en investigación.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-12-21,ALICORP,INCIDENTE,"Siendo aproximadamente las 12:30 horas, una aprendiz se encontraba realizando labores de limpieza en la mesa de trabajo, cuando de manera repentina, varias bandejas cayeron, una de ellas impactó en la mano izquierda de la aprendiz, golpeando el dorso de la mano y ocasionando un corte leve en el tercer dedo.
Ante lo ocurrido, se procedió a trasladar a la aprendiz al tópico, con la finalidad de que reciba atención médica oportuna.",,,,tablero_2025_2026
MOLINO PAITA,2025-12-22,ALICORP,INCIDENTE,"El lunes 22/12/2025 alrededor de las 14:45pm, se desprendió un pedazo de Eternit del techado del área de paletizado en la zona del robot. Esto fue causado por el desprendimiento de una dilatación ubicada en el exterior del molino como consecuencia de los fuertes vientos. Cabe precisar que no hubo personal afectado durante este suceso.
De inmediato cercamos el área y se activaron los protocolos de comunicación hacia el personal para evitar el tránsito hasta corregir la condición.
El evento se encuentra en investigación.",,,,tablero_2025_2026
PLANTA HIPOCLORITO – LURIN N° 1,2025-12-27,TRANSPORTES S&R (TRANSVIDA),INCIDENTE,"En momentos en que la unidad BKS-703 se encontraba realizando el izaje del contenedor de residuos no aprovechables (7m3) en el acopio de residuos de planta, el perno de la cadena del lado derecho se desprende dejando la carga ladeada sobre la base de la plataforma de la unidad. 
Inmediatamente el conductor procedió a apagar el vehículo y a activar el plan de emergencia: aislamiento de la zona, solicitud de auxilio mecánico externo, entre otros. No se registraron daños personales.
La investigación se encuentra en curso.",,,,tablero_2025_2026
CD AREQUIPA,2025-12-27,VIRGEN DE SILLOTA,INCIDENTE,"El día sábado a las 17:00 horas el conductor de la empresa VIRGEN DE SILLOTA, el tracto M1U-857 / carreta V5U-985, se encontraba realizando traslados de PT de HHII por el anexo 6. En esa circunstancia, por dar pase a otra UT y retroceder a la vez esta impacta ligeramente con un sujetador de base moviéndola 20 cm de su sitio habitual. Se están realizando las investigaciones. No se tienen daños personales.",,,,tablero_2025_2026
COPSA – MARGARINAS,2025-12-30,,ALTO POTENCIAL,"El día 30 de diciembre aproximadamente a las 07:30 pm, se reportó un incidente de alto potencial en la sala de compresores de la planta de Margarinas donde se evidenció fuga de gas amoniaco por el sello mecánico del compresor GEA2.
Se activó el sistema de comando de incidentes para atender la emergencia y se evacuó el personal que se encontraba por la zona, de manera preventiva.
El incidente se encuentra en investigación.",,,,tablero_2025_2026
CD HUACHIPA,2026-01-03,ALICORP SAA,DANO MATERIAL,"En CD Huachipa, alrededor de las 08:50 pm tuvimos un corte de energía eléctrica debido a un aparente corto circuito en la celda de media tensión de la subestación del predio. Se alerto de inmediato al equipo de seguridad y mantenimiento para que podamos hacer las revisiones preliminares y se ubicó humo dentro de la subestación. No fue posible usar el grupo electrógeno que se tiene en el predio ya que podría generar alguna complicación sin tener el diagnóstico por un especialista. Se asignó un proveedor especializado para atender el caso y para asignar un grupo electrógeno con el será posible operar mientras se da solución a la falla presentada. Se procederá a realizar la investigación pertinente.",,,,tablero_2025_2026
APT FARINACEOS,2026-01-06,ALICORP SAA,DANO MATERIAL,"El 6 de enero, aproximadamente a las 10:00 a. m., el equipo del [NOMBRE] se encontraba en la zona del robot de la línea de subproducto cuando se percibió un ruido proveniente del montacargas de combustión ubicado en el mismo sector. [NOMBRE] de Seguridad se acercó al punto y verificó la presencia de una fuga en la válvula de alivio del balón de gas de respaldo (back up). Ante esta situación, se activó la brigada de respuesta y en conjunto con el equipo de inspectores de Seguridad se procedió al vaciado controlado del balón, el cual se encontraba sellado y sin uso al momento del evento. El incidente permanece en investigación, no hubo daños personales ni materiales.",,,,tablero_2025_2026
COPSA – MARGARINAS,2026-01-08,ALICORP SAA,INCIDENTE,"El día 08 de enero aproximadamente a las 02:30 pm, se reportó un incidente en el área de envasado de planta Margarinas y Mantecas, donde se percibió el olor característico de gas amoniaco. Se activó el sistema de comando de incidentes para atender la emergencia y se evacuó al personal que se encontraba por la zona, de manera preventiva. La fuga fue por la válvula de alivió del sistema de seguridad del cristalizador Kombinator 4. El incidente se encuentra en investigación.",,,,tablero_2025_2026
APT MOLINO CALLAO,2026-01-08,ALICORP SAA,DANO MATERIAL,"Durante el traslado de PNC de producción desde la balanza antigua hacia la z6ona de robots (Zonas pertenecientes a planta), el OMC no se percató de que el portón no se encontraba completamente cerrado, y termina impactándolo, ocasionando su desprendimiento. No se registraron daños personales y el portón actualmente ya se encuentra operativo. Se estará realizando la investigación correspondiente para determinar las causas del incidente.",,,,tablero_2025_2026
CD AREQUIPA,2026-01-16,ALICORP SAA,INCIDENTE,"El día 16/01/2025, aproximadamente a las 15:00 horas, en el Centro de [NOMBRE], se presentó un incidente operacional. Durante el traslado de una paleta estándar vacía mediante montacargas, se desprendió uno de los listones de la paleta, el cual fue posteriormente pisado por el montacargas. De acuerdo con lo indicado por el operador, el montacargas únicamente pasó por encima del listón desprendido, sin que se haya registrado una maniobra inadecuada, impacto o colisión. Asimismo, no se reportaron daños personales ni afectaciones al montacargas. El evento no generó consecuencias adicionales. Nos encontramos en proceso de investigación.",,,,tablero_2025_2026
APT MOLINO CALLAO,2026-01-16,ALICORP SAA,DANO MATERIAL,"El día 16/01/2025, aproximadamente a las 15:50 horas, en el APT [NOMBRE], se presentó un incidente operacional. Durante la carga de subproducto, mientras el OMC estaba retrocediendo extrayendo una paleta, colisiona con el muro de protección de la columna, lo cual genera daño ligero en el muro y el contrapeso del montacargas. No se reporta daño personal alguno. El incidente está en proceso de investigación.",,,,tablero_2025_2026
DETERGENTES CALLAO,2026-01-18,ALICORP SAA,ALTO POTENCIAL,"Aproximadamente a las 03:10 p.m. del 18/01, durante el proceso de recepción de sulfato de sodio, se produjo el derrame del insumo por la parte superior del silo. Una vez identificada la desviación se realizó la detención del proceso y se realiza el control del evento. No se registraron daños personales ni materiales. El incidente se encuentra en proceso de investigación",,,True,tablero_2025_2026
CD LATAM 400,2026-01-21,CEVA,DANO MATERIAL,"El día 21/01/2026, aproximadamente a las 03:25 horas, en el Centro de [NOMBRE] 400, se presentó un incidente con daño material. Durante la extracción de una parihuela en el sexto nivel, el operario realiza un giro con la paleta aún en altura (maniobra prohibida), golpeando una tubería de la red contraincendio. El operario se percató del golpe e instantáneamente culminó la maniobra sin reportar daños personales, solo materiales. El evento no generó consecuencias adicionales. Nos encontramos en proceso de investigación.",,,,tablero_2025_2026
CD2 PLANTA 4 LURIN ITDC,2026-01-21,SAPISCO COMERCIAL,INCIDENTE,"El día 21/01/2026, aproximadamente a las 12:15 p.m., en el patio de maniobras del CD2 Lurin ITDC, en las maniobras para el armado y paletizado del material, al momento de bajar los sacos de manera manual, golpean un armado que estaba encima de la UT que no estaba empacado y ocasiona la caída de 6 sacos. El evento no generó consecuencias adicionales, no hubo daños personales y ni de materiales.Nos encontramos en proceso de investigación.",,,,tablero_2025_2026
DETERGENTES LURIN,2026-01-21,INTRADEVCO,ALTO POTENCIAL,"Aproximadamente a las 03:15 p.m. del 21/01, durante la elaboración de polvo pulidor, y posterior a una intervención realizada por el maquinista, la tapa del equipo quedó desajustada. Al reiniciarse la rotación de la mezcladora, la tapa se desprendió repentinamente, generando la dispersión del producto en el ambiente. El evento fue detectado de inmediato, procediéndose a la detención del equipo y a la evacuación del personal del área para controlar la situación. No se registraron daños personales ni materiales. El incidente se encuentra en proceso de investigación.",,,True,tablero_2025_2026
CD CUSCO,2026-01-21,ALICORP SAA,DANO MATERIAL,"El día 21/01/2025, aproximadamente a las 11:15 horas, en el Centro de [NOMBRE], se presentó un incidente operacional. Durante el traslado de PT desde el CD al canal de recepción Dexsur, el operador de montacargas intentó realizar el traslado de 2 paletas apiladas del producto SALSA. ALPESA KETCHUP 10X1KG 1CJA. Como consecuencia de este acto se originó la deformación de los productos de la paleta inferior y la caída del producto de la paleta superior mientras se realizaba el traslado. El incidente se encuentra en investigación.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-01-31,ALICORP SAA,INCIDENTE,"Aproximadamente a las 05:00 horas del sábado 31 de enero, un operador sufrió un golpe en el codo derecho al impactar con la esquina de una bandeja metálica de la faja de salida de la envasadora de refrescos R1. El evento ocurrió cuando el operador intentaba recuperar los sobres de refresco que no habían sido encajados por su compañera, produciéndose el golpe durante dicha maniobra. Al terminar el turno, el colaborador no reportó el evento.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-02,ALICORP SAA,INCIDENTE,"Aproximadamente a las 17:40 horas, una aprendiz sufrió un corte en el antebrazo derecho mientras realizaba la alimentación de galletas en la Torre 2. La aprendiz se ubicó en la parte anterior de la zona de alimentación por considerarlo más cómodo para la actividad, momento en el cual tuvo contacto con una parte metálica con bordes filosos.",,,,tablero_2025_2026
PREDIO SIDSUR,2026-01-30,ALICORP SAA,INCIDENTE,"Aproximadamente a las 08:00 h, durante la actividad de limpieza de filtros con aire comprimido en la azotea, una abrazadera se desprendió e impactó sobre el casco de un trabajador del servicio de limpieza que realizaba labores rutinarias en la zona",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-03,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 07:40 horas, se desprendió un protector de luminaria, el cual cayó en las inmediaciones de la zona de moldeado de la Línea 1, generando una condición insegura que pudo haber ocasionado una lesión al colaborador que se encontraba realizando actividades en dicha etapa del proceso.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-02-04,ALICORP SAA,INCIDENTE,"El trabajador Operario de producción refiere que siendo las 02:06 horas, se encontraba dirigiéndose a tomar su refrigerio y transitaba por el sendero peatonal de planta (altura de Línea 1 y Línea 2 de envasado de galletas) cuando de pronto observo que su compañera estaba trasladando una bandeja con granel y decide moverse a un costado para ceder el paso, luego avanza y no se percata que delante suyo había una estructura metálica que pertenece a una faja, y golpea su muslo derecho contra la estructura.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-04,ALICORP SAA,INCIDENTE,"aproximadamente las 08:50 horas, una aprendiz acude a limpiar la faja de la línea 1 de envasado, esta estaba apagada, pero al lado había una faja en movimiento, ella se percata que esta faja estaba sucia y decide estirar la mano por encima de la cabeza para limpiarlo, en ello recibe un atrapamiento que provoca una herida en el dedo meñique de la mano derecha.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-02-05,ALICORP SAA,ALTO POTENCIAL,"Durante el traslado interno de productos no conformes (Galletas) realizados con un apilador eléctrico (1.5 TON), al momento de elevar el pallet con carga hacia la máquina de molienda este sufre un desbalance y vuelca lateralmente impactando contra el suelo",,,True,tablero_2025_2026
SIDSUR,2026-02-07,CALICORP,INCIDENTE,"Alrededor de las 11:40 am., el maquinista de la planta galletera, luego de culminar el cambio de bobina en la maquina Bosh N2, se encontraba utilizando una escalera de 3 peldaños. Al retroceder, el Trabajador refiere haber pisado al vacio, lo que ocasiono su caída, golpeandose la espalda y el tobillo.",,,,tablero_2025_2026
ATP GALLETERA,2026-02-06,ALICORP SAA,INCIDENTE,"El proveedor Autorel, que actualmente brinda servicios al área de Proyectos, ingresó al APT desde la zona de robots para hacer mediciones, cruzando la puerta que da acceso al patio de maniobras. En ese momento, el ETV que se encontraba en el exterior accionó el claxon con la intención de ingresar, sin embargo, el proveedor no percibió la señal auditiva y continuó su desplazamiento.El ETV se detuvo de manera inmediata cuando lo vio, sin embargo, se produjo un contacto leve con el proveedor a la altura del hombro con la parrilla",,,,tablero_2025_2026
SALSAS,2026-02-09,ALICORP SAA,INCIDENTE,"Siendo las 05:55 p.m. la trabajadora de manufactura de salsas 1 purga la línea de agua para el lavado de tolva; al momento de dejar la manguera de lavado en la tolva se da la vuelta y siente el agua caliente escurriéndose por su espalda, automáticamente sale del ambiente y llama a sus compañeros. Como primera medida se le aplica agua fría en la zona expuesta y se llama al equipo de tópico, brindándole los primeros auxilios",,,,tablero_2025_2026
LURIN,2026-02-10,INTRADEVCO,ALTO POTENCIAL,"Siendo las 3:51 am suena la alarma de detección de GLP indicando alerta de fuga en el bunker de la línea 04 marcando 72%/LEL, Inmediatamente se procede a bajar la llave de alimentación de gas y mediate el sistema de ventilación de extracción para disipar el gas de la zona. Posterior a ello, ingreso el equipo de producción y mantenimiento para determinar las causas de la fuga. Encontrándose el perno de sujeción de una de las boquillas roto.",,,True,tablero_2025_2026
PREDIO CALLAO,2026-02-10,ALICORP SAA,INCIDENTE,"Aproximadamente a las 07:40 horas, un personal tercero sufrió un corte en el dedo meñique de la mano izquierda mientras realizaba la limpieza del magazín de la máquina D1. La herida fue por contacto con una parte metálica filosa del magazín.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-01-31,ALICORP SAA,INCIDENTE,"Aproximadamente a las 13:00 horas del martes 10 de febrero, un operador tercero reportó dolor de fuerte intensidad en región lumbar. El operador a las 11:45 horas realizaba el traslado de una bandeja de galleta, momento en el cual, sintió un estirón en la zona lumbar. Con el transcurso de las horas, el dolor se intensificó, por el cual reportó lo sucedido.",,,,tablero_2025_2026
APUDEX,2026-02-10,APUDEX,INCIDENTE,"Alrededor de las 8:50 am el operario de almacén, al momento de almacenar una paleta de productos terminados, con stoca de una zona a otra zona, al empujar sintió un dolor en la espalda al lado izquierdo, la cual nos informó y se procedió a comunicar a nuestra jefatura y se procedió llamar al central de emergencia para su evaluación",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-11,ALICORP SAA,INCIDENTE,"Aproximadamente a las 10:40 horas, un personal aprendiz sufrió una leve excoriación en el borde del 5to dedo de su mano izquierda. La herida fue por roce con galleta mientras realizaba la actividad de alimentación.",,,,tablero_2025_2026
DETERGENTES LURIN,2026-02-10,INTRADEVCO,INCIDENTE,"Durante el proceso de ordenamiento y revisión de mermas, al estar manipulando una caja de lejía, le salpica un remanente del producto en la pierna derecha.",,,,tablero_2025_2026
DETERGENTES LURIN,2026-02-11,INTRADEVCO,INCIDENTE," Alrededor de la 1 AM, se activo alarma debido a que se  produjo una fuga de producto en el cuarto nivel de procesos en Tornillo de transporte de Sulfato de Sodio durante la transferencia  al edificio. Se procede a ventilar el área y realizar limpieza de la misma.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-11,ALICORP SAA,INCIDENTE,"Colaboradora que refiere se encontraba en línea 2 realizando alimentación de galletas y al trasladarse a buscar una bandeja se resbala por sus propios pies y se cae, se golpea el brazo izquierdo izquierdo y la región de cadera derecha.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-13,ALICORP SAA,INCIDENTE,Cuando la colaboradora de la empresa Charlotte se desplazaba desde la cámara de frío hacia la cocina llevando una bandeja con frutas para picado se tropieza con una jaba que se encontraba en el camino sufre una caída que ocasionó un raspón en la rodilla. ,,,,tablero_2025_2026
CD DETERGENTES LURIN,2026-02-12,INTRADEVCO,INCIDENTE,"El día 12/02/2026, aproximadamente a las 09:30 am., en el almacén CD1 [NOMBRE] al momento de la maniobra de almacenamiento del producto terminado el operador de Ransa impactó con el larguero superior provocando asi el desplazamiento de 3 cajas al piso y 3 cajas que quedaron suspendidas en el rack.",,,,tablero_2025_2026
DETERGENTES LURIN,2026-02-13,INTRADEVCO,INCIDENTE,"Al término del proceso de almacenamiento, el operador se percata que había líquido en el piso proviniendo del equipo ETV2245. Cuando se dirige a estacionar el equipo para poder reportar el hallazgo, al tener el piso mojado, las ruedas no respondieron adecuadamente al freno y el operador impacta con una guarda de rack.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-02-14,ALICORP SAA,INCIDENTE,"La trabajadora se encontraba alimentando galleta en granel en la mesa de acomodo de Línea 4 y refiere que con el roce de la galleta se produce una ampolla en pulpejo de quinto dedo de mano derecha, con el paso de las horas de manipulación de granel se rompe la ampolla y refiere leve dolor.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-02-14,ALICORP SAA,INCIDENTE,"El trabajador traslada un pallet con bandejas que contenían granel de galletas, bajó la rampa ubicada al ingreso de línea 4 envasado y al girar el pallet las bandejas se inclinan y salen de la base del pallet impactando contra un pallet de galleta para reproceso.",,,,tablero_2025_2026
ITDC- LURIN,2026-02-13,INTRADEVCO,INCIDENTE,"Aproximadamente a las 10:00 horas, el operador de apilador electrico ETV estaba extrayendo una paleta desde posiciones altas de los racks en el almacén #5. Al momento de descender el mástil con la paleta suspendida choca con el timón de otro equipo([NOMBRE]) que había sido dejado en el pasillo.",,,,tablero_2025_2026
ATP MCA,2026-02-14,ALICORP SAA,INCIDENTE,"Durante el proceso de carga de subproductos, al subir la manta para entoldar la unidad ya estibada, el operador eleva demasiado el mástil lo cual ocasiona que el respaldo de carga tenga contacto con la viga protectora de la línea de vida, ocasionando se fracture la estructura metálica. Se informa al equipo de soporte y proveedor para las investigaciones del caso. El incidente no reviste ningún daño personal al operador de montacargas; el equipo se envía a estacionamiento de montacargas para su evaluación inmediata que está en proceso.",,,,tablero_2025_2026
SALSAS 1 – COPSA,2026-02-14,ALICORP SAA,INCIDENTE,"Siendo las 10:40 p.m. el trabajador de envasado de salsas 1 se dirige al área de encajado para revisar la totalidad de producción del turno, cuando al caminar por el pasadizo de la zona de encajado, sufre una caída a causa de una bandeja sobresalida.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-17,ALICORP SAA,INCIDENTE,"Aproximadamente a las 00:05 horas, un operador sufrió un corte leve en el antebrazo derecho mientras realizaba la actividad de alimentación / acomodo de paquetes primarios en la línea 2. La herida fue por contacto con un perno metálico sobresalido de las guías del transportador de paquetes.",,,,tablero_2025_2026
SALSAS 2,2026-02-16,ALICORP SAA,INCIDENTE,"Siendo las 10:30 p.m. el trabajador tercero de Prolabora usa la Stoka para retirar un tablero de cajas de vegetales que se encontraba dentro del elevador, al intentar mover el tablero resbala y cae al piso golpeando parte de su pie derecho con la Stoka.",,,,tablero_2025_2026
LURIN 1,2026-02-17,INTRADEVCO,DANO MATERIAL,"Durante ese intervalo, la bomba continuó operando, generando el bombeo de aire a través de las tuberías hacia el tanque de almacenamiento. Esta acción provocó la formación excesiva de espuma dentro del tanque, ocasionando el rebalse de espuma alrededor del mismo y sobre sus tapas.",,,,tablero_2025_2026
LURIN 2,2026-02-17,INTRADEVCO,DANO MATERIAL,"el día 17/02/2026 a las 10:21 a.m. aproximadamente. Durante el proceso de traslado de materiales con una transpaleta eléctrica, cuatro cilindros de ácido sulfónico cayeron, lo que ocasionó que uno de ellos se abriera y se produjera el derrame del insumo.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-19,ALICORP SAA,INCIDENTE,"Aproximadamente a las 03:15 horas del jueves 19 de febrero, un operador sufrió una lesión en el dedo medio de la mano derecha mientras realizaba la actividad de carga de galletas en el magazín previo al arranque de línea.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-16,ALICORP SAA,INCIDENTE,"El lunes 16/02/2026 alrededor de las 17:00 horas, el operario de producción se encontraba realizando el triturado de fideo corto, mientras el colaborador movía el tecle hacia uno de los lados para descargar la bolsa de big bag, el mando del tecle se resbala de su mano e ingresa a la tolva y causa el atoro del triturador.",,,,tablero_2025_2026
ALMACEN DETERGENTES CALLAO,2026-02-19,ALICORP SAA,DANO MATERIAL,"En el patio del almacén de Detergentes se registró una fuga de gas GLP proveniente de un balón instalado en el montacargas de combustión asignado al operador del área de Jabones. El evento fue atendido de manera inmediata por el área de Seguridad, logrando controlar la fuga mediante el aseguramiento de la válvula.",,,,tablero_2025_2026
PLANTA COCHABAMBA,2026-02-20,ALICORP BOLIVIA,INCIDENTE,"Aproximadamente a las 08:58 hrs, la unidad de transporte con placa 4716-HRI, colisionó con la estructura superior de la caseta de vigilancia de Planta (Portería 1), impactando con el lateral derecho del camión en el techo de la misma.",,,,tablero_2025_2026
CD HUACHIPA,2026-02-21,ALICORP SAA,INCIDENTE,"En CD Huachipa, alrededor de las 06:30 am se registró un incidente de alto potencial en el muelle de carga / descarga. El proveedor que realiza labores de estibado para la empresa de transporte Codiso, unidad con placa AWR751, transitó de manera temeraria por la instalación, generando un casi accidente con el operario que maniobraba una transpaleta eléctrica (ERE). El colaborador de Alicorp al visualizar al proveedor caminando apresuradamente, reaccionó de inmediato, logrando esquivarlo. El proveedor también se apartó del equipo en movimiento. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-02-21,ALICORP SAA,INCIDENTE,"El trabajador Operario de Limpieza se encontraba realizando labores de trasvase de detergente líquido M&M2000 desde el envase original (Bidón de 25 Kg) hacia su coche de limpieza, en ese momento le salpica el insumo químico en ambas vistas, inicialmente fue atendido por el Coordinador de Producción quien acompaña al trabajador hasta la estación de lavaojos.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-02-21,ALICORP SAA,INCIDENTE,"Siendo las 09:20 a.m. el conductor de la empresa TRANSFLOVAL detiene el camión que conducía, baja del vehículo e ingresa debajo del mismo según refiere que se trabo la caja de cambios del camión.",,,,tablero_2025_2026
