planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
LURIN 1,2025-04-11,INTRADEVCO,ALTO POTENCIAL,"Siendo las 21:32 horas durante el inicio de la descarga de sal industrial, se produjo el vuelco de la tolva de descarga del camión de la empresa Transler EIRL, que es subcontratada por el proveedor de sal industrial (Sociedad punta de lobos Perú SAC).
No se registraron personas afectadas
Se procede con la investigación del evento",Lesiones o fatalidad,VEHICULO DE CARGA,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-04-15,ALICORP,INCIDENTE,"Aproximadamente a las 20:45 cuando el trabajador [NOMBRE] transitaba por la batidora de masa 3, sintió tras él la caída de una herramienta (llave francesa) del personal tercero quienes estaban realizado trabajos de limpieza de filtros en altura, cabe mencionar que el área no se encontraba delimitada por la empresa [NOMBRE] CRC por lo que no se había restringido el tránsito en esa zona.",Lesiones ,EQUIPO MANUFACURA,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-04-23,ALICORP,INDICENTE,"Aproximadamente a las 16:24 hrs el trabajador [NOMBRE] se encontraba realizando la limpieza del equipo Mezclador #3 cuando al introducir la pala con la que remueve el producto este queda atrapado en  las aspas del equipo en mención, por lo que el operador suelta la pala de forma apresurada y procede a apagar el equipo, luego procede a comunicar el suceso al Ingeniero de [NOMBRE].",Lesiones ,EQUIPO MANUFACURA,,tablero_2025_2026
CDC,2025-04-26,ALICORP,DANO MATERIAL,"El sábado a las 19:05, en el almacén CDC zona de Cámara de Frio (Pasillo 15), se registró un incidente de alto potencial durante el almacenamiento de un pallet con mantas térmicas en el 4to nivel de la estantería rack. Durante la maniobra, la parte superior del pallet topa el aspersor accidentalmente, provocando su activación.
Se emitió la alerta por medio del radio al equipo de seguridad industrial, a lo cual el inspector [NOMBRE] acudió al evento de forma inmediata. Este último realizó el cierre de válvulas de agua de la zona.
Por otro lado, se comunicó al electricista de turno para la revisión de la zona por riesgos eléctricos. Así mismo, se realizó un hard stop operativo para sensibilizar el incidente al 100% del personal.
El operario involucrado fue dirigido al Tópico para su evaluación médica post-incidente a lo cual medicina ocupacional nos indicó que guardara reposo hasta terminar su jordana, no presenta ningún daño físico.
No se registran daños estructurales y se cuantificará los daños materiales ocasionados por el evento.",Daño a producto terminado,EQUIPO LOGISTICO,,tablero_2025_2026
ALMACEN DE INSUMOS FIDERIA,2025-04-29,ALICORP,INCIDENTE,"Alrededor de las 01:30 p.m., el operador [NOMBRE] se encontraba ejecutando la labor de almacenamiento de una paleta de devolución, utilizando un ETV. Durante la maniobra, una de las mangueras del equipo logístico presentó una falla repentina, lo que provocó la ruptura de esta y la consiguiente fuga de aceite hidráulico al piso.
Tras el incidente, se activaron los protocolos correspondientes: se procedió de inmediato con la limpieza y contención del derrame, asegurando el área y evitando cualquier tipo de exposición o riesgo adicional.           
Este incidente no ocasionó daños personales en el operador. La investigación continúa en curso.            ",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
SIDSUR,2025-04-29,ALICORP,ALTO POTENCIAL,"[NOMBRE] 29/04/2025 a las 06:20 am, en el vestuario de Operadores de planta Galleteria ,se observa incidente de alto potencial  en el tablero eléctrico alimentación planta de 220 V trifásico , el cual genera la emisión de humo debido a un corto circuito en el cable de alimentación de extractores del vestuario. 
El personal del área de mantenimiento se acercó a la zona y evidenció un fusible activado y unos cables quemados, posteriormente se comunicó a todo el personal del área de galletería para atender el incidente. 
No se registraron daños personales.  ",Potencial incendio ,INSTALACIONES ELECTRICAS,,tablero_2025_2026
SIDSUR,2025-05-02,ALICORP,ALTO POTENCIAL,"El viernes 02 de mayo a las 9:50 pm, durante el turno 3 se presentó un incidente en la zona de casilleros de la planta galletería, donde parte del cielo raso cayó.
Se tomaron medidas inmediatas para asegurar el área, el acceso fue restringido desde ayer, además se comunicó a los trabajadores de turno acerca del incidente y la restricción de acceso, el día de hoy se realizaron labores de retiro del material caído y el resto de estructura sobrante.",Potencial daño material o personal,TECHO DE INSTALACION,,tablero_2025_2026
CDC,2025-05-08,ALICORP,CAIDA DE PRODUCTO,"El jueves 08.05 alrededor de las 9am, en el almacén CDC zona Nave nueva (Pasillo 3), se registró un incidente de alto potencial durante el almacenamiento de un pallet con cajas de aceite en el 4to nivel del flowrack F1-01-02. Durante el almacenamiento, producto del movimiento, la cama superior del pallet se ladeó provocando la caída de 14 cajas (13 quedaron en el flowrack y 1 cayó al piso), generado derrame de líquido.
Se procedió con el cercado de zona afectada para restringir el tránsito de equipos eléctricos. Se activó al equipo de Alteliza para el inicio de trabajos y al proveedor Flamil para el recupero de cajas en rack.
El operador ETV no presenta ningún daño físico ni tampoco se registran daños estructurales. Producto del evento, 8 cajas fueron enviadas a la zona de PNC.
Se realizó hardstop para comentar lo sucedido con el equipo y reforzar el enfoque en seguridad. Se procederá con la investigación correspondiente para determinar los detalles adicionales.",Potencial daño material o personal,MERCADERIA ALMACENADA,,tablero_2025_2026
LURIN 1,2025-05-08,INTRADEVCO,FUGA DE CLORO,"Al promediar las 17:25 horas un colaborador que se encontraba cerca a la zona de formulación de hipoclorito de sodio al 8% reporta presencia de olor a cloro. Inmediatamente se procede con la activación del protocolo de emergencias y la evacuación del personal. Las lecturas arrojaron valores por debajo de 2.25 ppm con duración inferior a un minuto.
No se registraron personas afectadas
Se procede con la investigación del evento",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
NANA,2025-05-14,MASTERBREAD,DANO MATERIAL,"El día 14/05/2025 un colaborador de la empresa MANPOWER se encontraba realizando despacho de materia prima hacia el área de producción operando un transpalet eléctrico, el cual se encontraba retrocediendo hacia la puerta de ingreso de producción en ese instante se rompió el selector de marcha del equipo por lo que perdió el control e impactando con la puerta elevadiza. Su reacción en ese instante fue presionar el botón de emergencia para que el equipo se detuviera y no siga avanzando.
Cabe resaltar, que el equipo contaba con su mantenimiento preventivo y su check list de pre-uso actualizado.",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
